Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C15, C17, C18, C19, C2, C24, C25, C4, C5, C6, C7, C8, C9",0805,17,100nF,C49678
"C10, C16",1206,2,4.7uF,C29823
"C14, C20, C22",0805,3,330nF,C1740
"C21, C23",0805,2,22nF,C1729
C3,0603,1,27pF,C162215
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,Jack_3.5mm_PJ320D_Horizontal,1,PJ-320D,C431535
"J2, J3, J4",TerminalBlock_bornier-2_P5.08mm,3,WJ500V-5.08-2P,C8465
"L1, L2",L_Sunlord_SWPA6045S,2,22uH,C83454
"Q1, Q2, Q3, Q4",TO-252-2,4,IRFR4615TRLPBF,C148159
"R1, R2",0805,2,100R,C17408
"R10, R11, R14, R15, R22, R5, R6",0805,7,10K,C17414
"R12, R13, R9",0805,3,100K,C149504
"R16, R17, R18, R19, R20, R21",0805,6,9R1,C2933515
R3,0603,1,4K7,C309085
R4,0603,1,100K,C335088
"R7, R8",0805,2,R,
U1,SOP-8_3.9x4.9mm_P1.27mm,1,LMC555M,C356725
"U10, U8",DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,2,DGD05473,C189752
"U2, U3, U4",SOP-8_3.9x4.9mm_P1.27mm,3,COS2353SR,C2685365
"U5, U6",SOT-23-5,2,TLV3201,C105188
"U7, U9",SOT-353_SC-70-5,2,74LVC1G04SE,C264081
